2025-06-24T13:26:10.053379,INFO,"Face at (264, 185, 165, 165) -> sad (0.3749)"
2025-06-24T13:26:10.055901,INFO,Emitted 1 prediction(s)
2025-06-24T13:26:13.123994,INFO,"Face at (286, 206, 143, 143) -> sad (0.4912)"
2025-06-24T13:26:13.125503,INFO,Emitted 1 prediction(s)
2025-06-24T13:26:15.995614,INFO,"Face at (293, 200, 133, 133) -> sad (0.4030)"
2025-06-24T13:26:15.997633,INFO,Emitted 1 prediction(s)
2025-06-24T13:26:19.107960,INFO,"Face at (291, 199, 141, 141) -> sad (0.3705)"
2025-06-24T13:26:19.109961,INFO,Emitted 1 prediction(s)
2025-06-24T13:26:22.066904,INFO,"Face at (400, 33, 28, 28) -> happy (0.2539)"
2025-06-24T13:26:22.838455,INFO,"Face at (291, 202, 141, 141) -> sad (0.4103)"
2025-06-24T13:26:22.840450,INFO,Emitted 2 prediction(s)
2025-06-24T13:26:25.045451,INFO,"Face at (281, 200, 139, 139) -> sad (0.4122)"
2025-06-24T13:26:25.048595,INFO,Emitted 1 prediction(s)
2025-06-24T13:26:28.003719,INFO,"Face at (269, 196, 153, 153) -> sad (0.4271)"
2025-06-24T13:26:28.005748,INFO,Emitted 1 prediction(s)
2025-06-24T13:26:31.054945,INFO,"Face at (323, 208, 149, 149) -> sad (0.4204)"
2025-06-24T13:26:31.056465,INFO,Emitted 1 prediction(s)
2025-06-24T13:26:34.124722,INFO,"Face at (288, 219, 142, 142) -> sad (0.4118)"
2025-06-24T13:26:34.127247,INFO,Emitted 1 prediction(s)
2025-06-24T13:26:37.093483,INFO,"Face at (438, 246, 30, 30) -> happy (0.4090)"
2025-06-24T13:26:37.811045,INFO,"Face at (290, 208, 145, 145) -> sad (0.4245)"
2025-06-24T13:26:37.814001,INFO,Emitted 2 prediction(s)
2025-06-24T13:26:40.081979,INFO,"Face at (397, 158, 27, 27) -> angry (0.2465)"
2025-06-24T13:26:40.883714,INFO,"Face at (297, 217, 138, 138) -> sad (0.4458)"
2025-06-24T13:26:40.885790,INFO,Emitted 2 prediction(s)
2025-06-24T13:26:43.114678,INFO,"Face at (341, 203, 151, 151) -> sad (0.3844)"
2025-06-24T13:26:43.116762,INFO,Emitted 1 prediction(s)
2025-06-24T13:26:46.068819,INFO,"Face at (316, 208, 167, 167) -> sad (0.4103)"
2025-06-24T13:26:46.073210,INFO,Emitted 1 prediction(s)
2025-06-24T13:26:49.866222,INFO,"Face at (312, 221, 163, 163) -> sad (0.4109)"
2025-06-24T13:26:49.869234,INFO,Emitted 1 prediction(s)
2025-06-24T13:26:58.423386,INFO,"Face at (400, 34, 27, 27) -> angry (0.2629)"
2025-06-24T13:26:58.426428,INFO,Emitted 1 prediction(s)
